food_category,hours_since_cooked,storage_temp_c,humidity_pct,freshness_score
raw_salads,5.02,27.5,63.6,0.0
dairy_based,9.71,25.0,52.5,0.032
dry_snacks,2.59,27.2,62.4,0.527
dairy_based,5.05,19.8,36.5,0.029
baked_goods,8.6,22.5,87.2,0.0
rice_curry,4.48,23.9,84.4,0.0
dairy_based,2.79,14.5,79.6,0.0
dry_snacks,8.55,17.0,83.6,0.115
baked_goods,3.9,17.3,38.8,0.568
dairy_based,5.31,28.6,60.2,0.0
rice_curry,9.77,25.5,49.1,0.063
rice_curry,1.86,27.7,83.2,0.0
fried_items,3.01,13.0,41.4,0.442
baked_goods,0.31,15.1,43.2,0.912
raw_salads,3.92,28.0,71.2,0.0
dairy_based,2.0,7.3,35.3,0.584
dry_snacks,6.8,31.3,73.9,0.032
baked_goods,1.81,13.1,46.1,0.779
fried_items,6.75,29.1,69.7,0.0
baked_goods,2.63,18.7,82.4,0.609
dry_snacks,3.55,30.3,66.6,0.242
rice_curry,3.49,40.0,42.8,0.028
baked_goods,7.17,10.4,32.9,0.128
baked_goods,4.67,28.2,32.7,0.0
dairy_based,3.61,13.2,35.3,0.0
baked_goods,8.53,26.6,64.8,0.017
raw_salads,5.72,22.8,50.9,0.0
dairy_based,2.14,24.8,44.6,0.014
raw_salads,9.0,18.5,43.2,0.011
rice_curry,3.43,28.7,86.9,0.0
rice_curry,0.39,15.3,37.1,0.882
baked_goods,4.95,31.4,48.3,0.003
fried_items,1.24,21.5,58.3,0.729
dry_snacks,2.38,15.6,30.0,0.722
baked_goods,7.47,33.6,85.3,0.0
rice_curry,1.31,23.6,35.9,0.438
baked_goods,8.07,35.4,70.9,0.0
dry_snacks,9.37,31.3,67.7,0.01
baked_goods,6.07,19.2,78.5,0.22
baked_goods,7.1,23.5,69.1,0.018
baked_goods,7.14,24.7,76.2,0.0
fried_items,9.93,33.2,55.3,0.0
dairy_based,3.42,26.6,59.3,0.025
baked_goods,1.63,25.1,72.1,0.632
rice_curry,5.19,22.8,64.1,0.004
baked_goods,5.33,23.7,60.7,0.075
fried_items,1.78,31.8,42.3,0.21
dairy_based,6.13,24.0,45.5,0.005
fried_items,0.14,21.6,51.5,0.946
fried_items,9.28,20.6,30.6,0.015
dry_snacks,2.65,20.7,55.0,0.719
dry_snacks,0.4,15.6,30.2,0.942
rice_curry,1.08,19.5,63.9,0.675
dry_snacks,2.4,33.0,72.2,0.442
dairy_based,2.74,22.8,63.7,0.015
baked_goods,0.33,28.2,71.6,0.956
fried_items,2.79,9.1,30.0,0.483
dairy_based,1.93,27.4,33.6,0.017
raw_salads,3.79,23.0,71.9,0.0
fried_items,3.85,21.1,78.2,0.083
dry_snacks,3.39,25.1,73.1,0.482
baked_goods,3.28,21.0,69.8,0.571
fried_items,0.9,11.3,72.4,0.819
fried_items,0.25,29.5,74.4,0.784
fried_items,2.02,25.5,73.5,0.388
fried_items,7.57,22.1,74.3,0.014
dry_snacks,9.91,18.2,34.4,0.0
fried_items,9.29,15.2,33.8,0.03
baked_goods,5.04,25.3,51.7,0.052
rice_curry,5.32,33.7,61.7,0.0
fried_items,3.15,25.2,75.8,0.065
dry_snacks,7.74,15.7,50.1,0.188
dairy_based,7.65,25.4,46.5,0.0
dairy_based,8.44,23.7,76.9,0.0
raw_salads,8.96,29.2,45.0,0.0
rice_curry,4.34,27.6,79.3,0.0
rice_curry,7.67,6.1,40.6,0.039
dairy_based,8.06,27.3,51.6,0.037
raw_salads,3.08,18.0,54.1,0.022
raw_salads,9.29,15.5,48.0,0.0
dry_snacks,0.94,22.9,30.2,0.839
rice_curry,9.94,26.5,44.1,0.005
baked_goods,7.7,14.2,50.3,0.036
dry_snacks,0.93,28.2,48.8,0.815
raw_salads,6.56,28.6,77.1,0.04
rice_curry,0.34,24.3,32.8,0.84
raw_salads,7.7,18.8,53.3,0.016
rice_curry,7.99,18.1,32.3,0.03
dairy_based,6.02,30.2,85.8,0.0
fried_items,8.57,14.9,77.4,0.06
dry_snacks,0.98,30.4,88.9,0.743
fried_items,2.76,23.0,84.6,0.239
fried_items,4.14,23.4,48.9,0.0
baked_goods,0.42,13.8,71.5,0.982
raw_salads,4.48,23.1,48.4,0.024
fried_items,2.65,27.7,83.3,0.023
dairy_based,3.93,16.0,54.6,0.0
dairy_based,4.25,27.0,52.6,0.042
dairy_based,8.79,24.5,84.8,0.0
baked_goods,2.7,20.1,80.2,0.68
rice_curry,8.94,29.1,88.0,0.0
rice_curry,4.26,10.8,34.0,0.015
dairy_based,3.28,26.1,44.6,0.009
dry_snacks,5.03,33.7,48.1,0.0
dry_snacks,4.18,32.6,55.5,0.05
dry_snacks,2.57,26.3,58.4,0.544
baked_goods,5.03,22.2,47.5,0.249
baked_goods,1.52,20.2,77.4,0.812
baked_goods,3.52,22.2,43.4,0.494
dairy_based,5.66,27.3,71.8,0.008
baked_goods,4.13,19.2,81.1,0.458
dry_snacks,8.24,28.5,66.2,0.04
raw_salads,2.57,36.8,51.2,0.027
fried_items,9.7,23.6,41.3,0.042
raw_salads,7.85,15.9,38.1,0.044
dry_snacks,9.68,15.9,74.7,0.014
dairy_based,8.38,28.7,58.1,0.012
baked_goods,1.42,23.6,32.8,0.781
dairy_based,5.26,29.3,89.0,0.0
dairy_based,1.7,20.8,70.3,0.038
dry_snacks,8.18,29.0,80.7,0.0
dairy_based,5.84,23.1,56.3,0.0
rice_curry,2.63,19.6,87.3,0.085
rice_curry,9.3,21.6,42.0,0.0
baked_goods,1.15,16.8,41.1,0.86
fried_items,5.64,35.9,83.4,0.0
fried_items,7.21,23.4,83.5,0.012
dairy_based,0.59,27.9,59.9,0.535
raw_salads,5.98,20.8,37.5,0.014
dry_snacks,8.16,17.7,48.3,0.163
dairy_based,0.68,22.6,75.2,0.579
dry_snacks,5.12,30.6,80.8,0.0
dairy_based,2.59,20.9,50.9,0.0
raw_salads,6.63,18.8,33.7,0.0
dairy_based,1.19,24.9,69.9,0.09
raw_salads,9.37,27.0,74.4,0.0
dairy_based,8.95,33.9,55.4,0.024
baked_goods,1.86,26.1,65.0,0.636
dairy_based,3.23,27.9,89.2,0.026
rice_curry,5.88,28.3,44.7,0.02
baked_goods,7.18,17.1,64.4,0.111
raw_salads,4.43,18.2,66.7,0.0
rice_curry,1.56,17.5,62.9,0.445
baked_goods,1.04,16.0,82.1,0.831
rice_curry,10.0,28.8,66.3,0.0
baked_goods,4.55,25.7,60.5,0.027
baked_goods,8.73,24.5,37.4,0.0
dairy_based,4.82,8.4,72.2,0.036
baked_goods,9.22,36.3,37.9,0.011
rice_curry,0.88,18.6,31.6,0.696
dry_snacks,1.14,36.3,59.3,0.712
dry_snacks,9.3,15.3,64.3,0.007
dairy_based,9.47,19.1,89.9,0.0
raw_salads,3.15,10.8,72.7,0.026
dry_snacks,3.55,26.2,80.9,0.401
dairy_based,4.52,17.4,50.8,0.0
baked_goods,4.16,17.6,60.5,0.467
rice_curry,1.9,15.8,88.5,0.376
baked_goods,8.98,28.7,55.0,0.008
rice_curry,2.53,28.3,78.4,0.0
baked_goods,7.05,34.9,61.6,0.069
fried_items,0.67,19.9,43.4,0.828
fried_items,0.39,25.3,64.8,0.869
rice_curry,6.54,16.3,43.1,0.0
dairy_based,3.39,22.0,30.2,0.0
raw_salads,6.55,20.9,44.2,0.0
dry_snacks,0.94,26.8,41.6,0.861
baked_goods,9.5,30.1,52.3,0.039
dairy_based,7.49,29.9,83.3,0.0
baked_goods,8.76,18.9,53.3,0.0
fried_items,1.36,30.0,80.7,0.448
dairy_based,3.2,23.7,63.3,0.012
rice_curry,3.68,22.1,30.5,0.007
fried_items,5.37,19.7,41.3,0.008
dry_snacks,2.97,20.6,85.9,0.655
fried_items,0.61,34.5,66.3,0.7
dry_snacks,3.69,25.8,85.8,0.384
fried_items,2.55,25.0,48.6,0.266
fried_items,3.86,22.4,73.0,0.095
dry_snacks,1.97,38.7,76.3,0.424
baked_goods,2.62,31.8,88.5,0.257
dairy_based,6.27,19.7,31.1,0.008
baked_goods,3.88,22.4,87.1,0.354
dry_snacks,3.45,22.7,53.5,0.584
rice_curry,5.34,24.9,80.3,0.0
dairy_based,7.72,19.8,62.7,0.0
rice_curry,3.79,26.6,63.9,0.023
rice_curry,5.88,32.7,51.6,0.001
fried_items,9.66,16.1,79.7,0.0
dry_snacks,5.22,17.2,45.8,0.489
baked_goods,9.1,21.1,59.5,0.007
dry_snacks,7.94,21.4,63.6,0.122
rice_curry,0.59,36.0,74.6,0.502
fried_items,4.29,30.0,58.3,0.0
baked_goods,6.98,29.7,70.8,0.0
rice_curry,9.87,22.4,59.1,0.0
rice_curry,4.58,22.3,69.6,0.001
raw_salads,0.93,15.3,70.4,0.633
raw_salads,5.62,28.7,72.6,0.0
fried_items,1.27,26.9,79.4,0.549
dairy_based,7.52,31.7,62.4,0.027
dairy_based,5.08,22.7,41.6,0.0
fried_items,7.23,23.1,70.8,0.064
fried_items,8.69,25.0,34.6,0.023
rice_curry,6.29,29.4,43.1,0.0
dry_snacks,6.12,15.2,77.5,0.376
dry_snacks,7.55,28.4,56.1,0.023
raw_salads,8.42,23.9,59.9,0.0
dairy_based,8.69,17.6,89.2,0.0
dairy_based,0.36,11.5,44.1,0.787
dairy_based,5.56,23.2,31.2,0.016
baked_goods,2.16,32.7,36.7,0.334
dry_snacks,8.6,34.0,44.7,0.0
dry_snacks,6.48,26.1,73.6,0.003
rice_curry,4.2,35.8,76.5,0.0
dairy_based,1.88,23.7,63.9,0.0
baked_goods,3.39,29.7,45.3,0.149
dairy_based,7.04,21.3,61.3,0.0
dairy_based,2.04,20.9,30.9,0.015
raw_salads,0.94,19.9,70.9,0.591
dry_snacks,8.88,11.6,66.9,0.089
fried_items,7.64,31.7,31.3,0.01
fried_items,2.0,20.2,79.0,0.568
dairy_based,2.92,19.2,75.8,0.0
baked_goods,9.72,16.9,48.5,0.0
rice_curry,7.08,22.8,68.1,0.003
raw_salads,6.11,34.6,66.1,0.0
rice_curry,3.08,36.6,38.6,0.0
fried_items,2.99,14.0,41.6,0.371
fried_items,0.4,21.9,71.0,0.896
raw_salads,7.28,17.8,86.0,0.0
dairy_based,0.43,29.9,64.6,0.568
rice_curry,0.05,25.7,64.1,1.0
dry_snacks,7.29,20.2,68.8,0.27
dairy_based,9.49,24.4,56.4,0.0
baked_goods,7.57,21.1,33.3,0.022
dry_snacks,4.72,33.7,53.8,0.001
raw_salads,4.86,27.3,84.0,0.0
fried_items,4.36,28.0,78.3,0.021
dry_snacks,3.25,8.0,85.6,0.818
rice_curry,5.22,23.6,39.2,0.001
fried_items,4.31,36.5,60.4,0.035
rice_curry,5.98,32.0,65.1,0.004
dry_snacks,8.98,12.9,42.6,0.091
fried_items,9.95,22.1,42.1,0.0
baked_goods,0.79,16.8,76.9,0.817
dry_snacks,3.85,34.3,70.3,0.118
rice_curry,1.81,25.5,68.8,0.069
rice_curry,3.52,19.4,46.0,0.0
fried_items,2.87,24.2,60.4,0.193
baked_goods,1.75,8.4,31.4,0.753
baked_goods,7.64,17.5,37.8,0.035
raw_salads,4.96,24.2,61.1,0.0
baked_goods,9.19,29.1,48.6,0.0
rice_curry,0.33,12.4,87.9,0.8
dry_snacks,0.67,21.7,58.3,0.874
fried_items,4.03,30.1,35.0,0.031
raw_salads,0.8,15.3,31.1,0.649
raw_salads,2.63,25.4,73.5,0.003
rice_curry,9.86,24.4,40.3,0.029
rice_curry,2.09,34.3,41.3,0.0
dry_snacks,1.98,22.6,55.4,0.741
dry_snacks,5.74,23.0,45.8,0.26
fried_items,4.98,29.1,67.0,0.0
fried_items,5.8,16.0,59.1,0.036
dairy_based,3.77,22.7,36.7,0.056
rice_curry,8.27,21.3,77.1,0.026
baked_goods,1.39,23.2,55.6,0.707
dairy_based,4.28,29.1,66.7,0.0
baked_goods,6.9,27.3,30.2,0.0
raw_salads,8.68,19.5,67.6,0.006
rice_curry,3.7,24.8,47.0,0.0
rice_curry,5.68,32.9,59.7,0.0
raw_salads,0.69,19.0,47.9,0.763
fried_items,1.7,24.9,89.8,0.447
rice_curry,0.69,22.8,43.9,0.659
fried_items,7.28,23.6,84.8,0.0
fried_items,2.88,14.2,85.1,0.411
raw_salads,7.24,32.5,55.3,0.0
rice_curry,0.66,19.4,48.2,0.786
raw_salads,8.63,30.2,52.9,0.0
raw_salads,8.36,20.3,89.4,0.0
rice_curry,0.89,20.2,67.1,0.732
dry_snacks,0.24,31.3,62.7,0.959
fried_items,0.56,30.0,32.2,0.765
dry_snacks,8.54,25.3,80.9,0.0
rice_curry,2.35,28.6,35.0,0.044
dairy_based,5.48,22.3,32.8,0.018
raw_salads,4.26,23.9,46.5,0.034
raw_salads,7.96,20.0,58.5,0.0
dry_snacks,4.89,29.4,83.7,0.028
raw_salads,5.01,19.8,77.4,0.0
dry_snacks,9.89,32.9,41.9,0.0
baked_goods,1.5,22.1,52.3,0.77
raw_salads,8.31,24.1,76.8,0.0
raw_salads,0.52,28.6,61.6,0.626
rice_curry,4.78,24.1,40.5,0.0
raw_salads,8.86,22.2,53.8,0.017
dry_snacks,6.65,23.8,67.6,0.082
fried_items,6.85,29.4,88.4,0.0
dairy_based,2.63,20.0,69.7,0.004
rice_curry,4.19,23.2,31.0,0.0
dry_snacks,3.67,24.1,72.3,0.452
baked_goods,5.21,29.2,45.1,0.016
dairy_based,4.62,23.4,81.7,0.0
fried_items,3.27,34.8,53.0,0.0
dairy_based,3.05,23.1,42.0,0.0
dairy_based,2.51,22.6,58.1,0.0
raw_salads,3.65,23.0,45.3,0.0
dry_snacks,1.5,16.1,44.1,0.896
baked_goods,8.72,17.8,64.4,0.005
baked_goods,6.02,20.8,76.0,0.17
dairy_based,1.34,30.8,80.1,0.0
rice_curry,6.94,23.8,53.9,0.022
dry_snacks,8.48,21.1,34.0,0.041
raw_salads,2.38,31.4,59.0,0.0
raw_salads,1.51,33.3,56.0,0.023
rice_curry,0.09,31.5,41.8,0.95
dry_snacks,0.47,18.9,83.8,0.854
dry_snacks,7.62,21.0,88.4,0.126
dry_snacks,9.87,34.9,33.1,0.004
baked_goods,0.45,25.4,77.7,0.885
raw_salads,7.48,22.4,68.7,0.0
dry_snacks,0.72,28.3,45.7,0.814
baked_goods,5.92,30.0,68.1,0.0
rice_curry,7.56,20.6,37.7,0.0
dairy_based,3.59,25.3,34.2,0.008
fried_items,0.11,29.6,89.6,0.831
baked_goods,5.95,17.0,68.2,0.223
raw_salads,9.91,24.1,45.2,0.0
dry_snacks,2.58,17.3,57.0,0.735
rice_curry,1.89,18.1,87.0,0.4
rice_curry,1.24,20.6,56.3,0.555
rice_curry,5.55,26.9,84.0,0.0
raw_salads,5.96,22.1,82.1,0.003
baked_goods,7.92,20.1,50.6,0.001
rice_curry,7.53,24.3,71.8,0.0
raw_salads,8.93,17.1,69.6,0.018
dairy_based,8.06,26.6,76.3,0.0
fried_items,2.47,30.8,52.0,0.009
dairy_based,5.56,23.5,33.1,0.0
dry_snacks,2.97,22.8,40.3,0.609
raw_salads,3.3,26.2,67.0,0.021
dry_snacks,9.32,11.8,76.5,0.041
rice_curry,6.82,27.2,75.4,0.022
rice_curry,9.75,40.0,65.0,0.0
rice_curry,4.17,23.3,35.1,0.043
dry_snacks,5.37,23.3,31.0,0.3
dry_snacks,4.87,28.5,76.9,0.055
baked_goods,1.07,33.9,63.0,0.692
raw_salads,2.37,29.8,77.0,0.0
dry_snacks,5.28,11.1,39.8,0.473
rice_curry,0.67,27.4,54.4,0.595
fried_items,9.31,39.4,85.2,0.0
raw_salads,1.24,27.7,40.3,0.15
baked_goods,1.98,17.1,33.7,0.768
baked_goods,7.65,25.7,69.2,0.0
fried_items,0.97,16.3,65.7,0.768
dairy_based,9.0,31.4,87.1,0.0
rice_curry,7.26,18.3,84.4,0.0
raw_salads,0.69,24.4,75.0,0.568
baked_goods,6.92,18.9,31.1,0.183
dry_snacks,6.32,20.7,58.8,0.347
baked_goods,7.57,32.9,83.8,0.0
dry_snacks,8.28,24.6,56.0,0.0
baked_goods,7.18,20.6,87.7,0.01
baked_goods,5.86,17.1,69.1,0.248
dry_snacks,3.22,12.8,36.6,0.715
dairy_based,6.97,16.5,60.6,0.029
dry_snacks,9.57,24.7,71.7,0.0
fried_items,5.88,29.9,33.9,0.02
raw_salads,6.64,20.6,50.7,0.025
dry_snacks,4.37,33.4,73.0,0.0
dairy_based,7.56,19.7,39.4,0.012
raw_salads,9.98,22.6,50.9,0.018
rice_curry,1.6,17.5,71.4,0.469
dry_snacks,2.02,29.9,76.5,0.556
dairy_based,5.39,36.6,61.1,0.0
fried_items,4.81,13.4,87.4,0.001
fried_items,5.72,21.9,85.5,0.0
rice_curry,0.49,31.6,58.4,0.603
raw_salads,4.04,15.3,39.6,0.02
fried_items,5.83,27.4,76.4,0.0
rice_curry,5.85,31.3,44.6,0.0
raw_salads,6.57,24.5,80.6,0.0
raw_salads,7.2,27.3,65.2,0.0
dairy_based,6.42,34.6,53.6,0.005
dry_snacks,7.9,35.7,63.4,0.0
fried_items,6.25,23.6,62.0,0.0
fried_items,5.38,20.8,85.5,0.0
dry_snacks,6.06,18.5,42.9,0.348
fried_items,1.01,29.9,85.7,0.565
raw_salads,2.73,15.8,31.9,0.0
dry_snacks,5.27,22.5,76.2,0.322
baked_goods,8.73,24.6,85.2,0.0
dry_snacks,6.79,21.0,53.6,0.302
baked_goods,0.9,25.7,34.4,0.775
dairy_based,5.92,39.4,78.3,0.008
dry_snacks,2.22,23.3,80.6,0.61
raw_salads,7.34,21.4,50.2,0.042
dry_snacks,8.27,30.1,61.1,0.0
fried_items,5.93,25.4,78.6,0.055
rice_curry,5.91,32.6,41.5,0.0
raw_salads,3.39,25.0,67.7,0.031
baked_goods,4.46,22.5,55.8,0.335
baked_goods,8.64,13.3,40.5,0.0
dairy_based,7.23,14.3,79.9,0.0
dairy_based,5.2,13.0,49.5,0.0
fried_items,3.68,26.3,86.1,0.0
baked_goods,0.5,15.8,64.1,0.92
raw_salads,1.43,31.5,60.9,0.0
dry_snacks,1.93,24.2,55.4,0.742
fried_items,3.73,22.5,54.0,0.037
dry_snacks,9.44,18.9,79.1,0.027
rice_curry,5.05,27.7,70.7,0.0
baked_goods,2.35,19.2,76.4,0.671
rice_curry,1.06,18.1,55.3,0.633
baked_goods,3.38,31.1,45.7,0.152
dairy_based,8.16,26.1,35.2,0.0
rice_curry,3.83,22.6,76.6,0.0
dairy_based,7.73,27.8,54.9,0.0
fried_items,8.03,24.1,60.6,0.013
baked_goods,1.11,26.3,58.2,0.743
fried_items,6.09,19.1,55.9,0.013
raw_salads,9.59,36.4,71.0,0.0
raw_salads,4.02,20.5,66.5,0.0
baked_goods,0.51,33.3,88.3,0.877
fried_items,9.23,22.9,38.3,0.044
rice_curry,8.84,28.8,64.4,0.0
dairy_based,5.22,28.4,33.8,0.0
dry_snacks,5.52,30.9,78.5,0.0
dairy_based,2.12,19.0,67.0,0.0
raw_salads,8.19,30.5,55.7,0.041
dairy_based,4.99,35.1,78.1,0.0
dry_snacks,0.34,22.4,57.3,1.0
fried_items,6.83,24.2,43.7,0.0
raw_salads,9.5,20.9,58.4,0.0
raw_salads,8.29,21.9,34.2,0.038
rice_curry,2.77,34.3,83.9,0.0
dairy_based,0.53,18.0,73.9,0.728
fried_items,9.4,18.3,75.6,0.017
rice_curry,9.37,33.7,82.5,0.0
rice_curry,5.32,27.7,77.5,0.0
rice_curry,6.42,36.7,55.9,0.0
raw_salads,4.63,21.3,37.1,0.018
baked_goods,4.2,24.8,52.4,0.237
raw_salads,1.19,20.0,86.0,0.526
baked_goods,0.97,24.9,86.9,0.785
raw_salads,2.33,13.4,76.1,0.01
dry_snacks,8.37,28.1,42.3,0.0
raw_salads,1.46,25.9,41.7,0.156
dry_snacks,2.27,23.7,82.8,0.683
dairy_based,5.49,21.7,38.5,0.004
fried_items,2.15,18.6,65.0,0.573
dairy_based,1.63,28.4,52.7,0.0
dry_snacks,5.63,17.0,48.1,0.413
rice_curry,3.68,27.1,70.6,0.042
baked_goods,6.26,36.4,87.6,0.0
rice_curry,9.12,32.9,76.7,0.0
rice_curry,1.51,15.0,59.2,0.46
raw_salads,9.13,20.8,56.4,0.0
dry_snacks,9.02,26.5,84.5,0.0
raw_salads,8.29,23.6,64.7,0.057
raw_salads,6.31,15.6,59.8,0.0
fried_items,6.2,26.3,71.0,0.0
dry_snacks,6.39,23.9,44.2,0.107
dry_snacks,6.9,35.5,33.8,0.008
rice_curry,0.16,22.5,81.3,0.872
fried_items,9.58,31.0,66.4,0.006
dry_snacks,5.86,16.4,39.9,0.451
dairy_based,7.81,17.8,47.9,0.004
dry_snacks,3.77,28.3,89.4,0.255
fried_items,0.12,30.5,68.1,0.925
dry_snacks,5.1,18.3,68.2,0.432
baked_goods,5.07,24.1,34.3,0.099
dry_snacks,4.37,15.7,88.1,0.544
rice_curry,3.4,22.9,83.6,0.0
rice_curry,2.5,29.0,62.9,0.055
baked_goods,5.28,21.4,48.6,0.273
dry_snacks,3.75,22.5,71.9,0.465
dairy_based,9.7,17.2,80.0,0.0
fried_items,1.73,20.1,77.2,0.604
fried_items,3.2,34.5,88.6,0.019
baked_goods,2.94,24.4,68.2,0.488
baked_goods,5.43,18.0,49.3,0.37
dairy_based,4.99,22.1,59.9,0.0
baked_goods,6.44,14.4,79.0,0.17
rice_curry,9.5,17.9,45.9,0.0
raw_salads,2.85,32.2,43.9,0.01
fried_items,6.93,23.1,73.5,0.0
baked_goods,0.25,35.3,56.7,0.914
raw_salads,2.62,23.4,79.0,0.03
baked_goods,4.64,23.8,38.6,0.197
raw_salads,0.31,27.8,50.1,0.819
fried_items,6.18,8.0,46.1,0.458
dry_snacks,6.78,25.2,71.9,0.069
dairy_based,7.47,23.7,75.6,0.0
rice_curry,5.17,32.9,57.4,0.021
raw_salads,6.04,29.8,58.7,0.026
rice_curry,3.96,17.2,37.9,0.0
rice_curry,0.41,31.5,72.1,0.717
rice_curry,1.0,22.4,89.5,0.583
fried_items,6.55,18.6,76.7,0.0
fried_items,9.96,25.2,43.4,0.0
raw_salads,0.16,22.8,67.4,0.913
dairy_based,5.58,33.2,47.7,0.0
rice_curry,7.51,26.0,31.8,0.042
dry_snacks,8.27,25.2,40.8,0.021
dry_snacks,5.45,29.4,36.2,0.0
dairy_based,6.2,30.6,41.8,0.018
raw_salads,6.97,28.7,77.7,0.0
fried_items,8.59,32.5,47.6,0.0
raw_salads,1.22,27.7,75.4,0.13
dry_snacks,9.26,25.0,86.9,0.007
dry_snacks,0.26,31.4,64.5,0.946
raw_salads,8.36,23.5,59.1,0.044
dry_snacks,0.77,24.2,75.0,0.902
dry_snacks,1.95,34.3,35.8,0.512
dairy_based,0.04,33.7,55.7,0.95
raw_salads,4.45,24.0,59.9,0.012
baked_goods,3.34,21.3,79.9,0.495
dry_snacks,1.66,32.8,78.9,0.649
raw_salads,4.51,28.8,80.9,0.0
raw_salads,4.02,25.9,71.9,0.0
baked_goods,7.68,22.1,61.8,0.02
raw_salads,8.93,26.0,79.7,0.0
rice_curry,6.53,23.9,82.4,0.0
raw_salads,1.24,20.0,58.8,0.499
rice_curry,2.95,24.8,89.1,0.0
baked_goods,9.13,25.6,82.5,0.0
fried_items,0.89,21.7,60.6,0.759
baked_goods,4.07,29.4,34.2,0.047
fried_items,9.43,31.7,43.5,0.012
fried_items,9.51,29.8,76.6,0.014
fried_items,4.11,22.3,36.7,0.023
baked_goods,6.67,28.5,58.2,0.065
baked_goods,4.57,24.5,66.3,0.201
dry_snacks,7.53,16.6,82.7,0.202
baked_goods,0.32,28.0,80.8,0.922
fried_items,1.44,24.9,75.9,0.538
rice_curry,6.14,39.6,54.5,0.0
fried_items,2.33,32.7,38.5,0.0
raw_salads,6.66,28.3,70.2,0.0
raw_salads,3.51,25.5,40.9,0.016
raw_salads,8.87,25.0,63.7,0.0
dairy_based,8.19,18.0,88.8,0.0
baked_goods,4.93,13.6,63.0,0.335
dairy_based,7.73,18.8,68.7,0.055
baked_goods,2.71,23.7,70.7,0.534
fried_items,4.94,11.4,79.8,0.0
rice_curry,1.97,20.7,56.1,0.307
rice_curry,8.61,22.5,59.9,0.066
dry_snacks,8.23,22.7,40.6,0.019
dry_snacks,9.02,20.0,66.9,0.005
dairy_based,8.77,22.0,47.7,0.08
dairy_based,9.6,34.3,60.5,0.0
dry_snacks,2.28,28.0,76.0,0.567
dairy_based,9.32,20.6,31.1,0.0
fried_items,5.71,23.6,63.8,0.0
rice_curry,4.22,23.8,40.4,0.009
dairy_based,5.6,19.4,46.8,0.0
dairy_based,3.43,19.4,32.1,0.0
fried_items,2.89,30.1,40.2,0.034
dairy_based,2.41,21.5,89.2,0.0
baked_goods,0.82,17.4,89.9,0.825
rice_curry,4.97,23.7,73.2,0.0
