distance_km,eta_minutes,spare_capacity_ratio,ngo_acceptance_track_record,accepted
2.95,8.1,0.016,0.858,1
0.86,3.0,0.705,0.432,1
1.33,3.0,0.251,0.883,1
2.25,6.4,0.862,0.434,1
5.7,13.6,0.384,0.92,1
1.07,4.4,0.2,0.426,1
2.3,3.0,0.468,0.475,1
1.06,3.0,0.255,0.506,1
0.91,6.4,0.236,0.532,1
6.4,14.7,0.573,0.637,1
1.67,3.7,0.767,0.787,1
4.02,8.3,0.835,0.927,1
0.91,3.0,0.398,0.709,1
0.56,3.0,0.067,0.714,1
3.43,8.2,0.484,0.588,1
4.25,12.3,0.434,0.872,1
2.85,5.7,0.197,0.465,1
3.56,10.5,0.896,0.578,1
3.06,9.3,0.974,0.457,1
3.28,10.3,0.052,0.526,0
6.76,17.2,0.796,0.746,1
8.47,27.7,0.646,0.474,1
1.99,7.1,0.261,0.459,1
0.27,3.0,0.635,0.887,1
4.21,8.8,0.129,0.47,1
2.54,6.2,0.069,0.759,1
7.32,21.2,0.993,0.608,1
3.13,11.3,0.636,0.929,1
0.42,4.0,0.253,0.817,1
3.15,9.4,0.45,0.435,1
1.72,3.0,0.95,0.928,1
0.35,3.0,0.439,0.644,1
0.82,3.0,0.9,0.576,1
10.43,23.1,0.869,0.797,1
1.21,3.5,0.344,0.824,1
0.77,3.0,0.696,0.579,1
1.33,5.1,0.66,0.607,1
6.2,16.5,0.771,0.492,1
3.27,9.2,0.366,0.75,1
0.59,3.0,0.052,0.965,1
0.1,3.0,0.171,0.646,1
1.31,3.0,0.617,0.988,1
0.45,3.0,0.775,0.504,1
6.2,17.0,0.756,0.87,1
0.32,3.0,0.584,0.948,1
2.05,6.9,0.085,0.806,1
3.05,9.8,0.017,0.465,0
8.61,20.3,0.782,0.593,0
0.87,3.4,0.549,0.451,1
5.21,11.7,0.783,0.755,1
2.29,3.0,0.163,0.989,1
5.19,13.2,0.407,0.621,0
1.07,3.0,0.919,0.496,1
1.0,3.0,0.172,0.558,1
0.76,5.8,0.062,0.737,1
3.13,4.8,0.653,0.736,1
1.95,5.6,0.595,0.536,0
2.6,4.5,0.952,0.843,1
3.85,11.4,0.906,0.452,1
3.46,9.3,0.749,0.768,1
3.14,8.6,0.019,0.651,1
4.2,8.6,0.48,0.475,0
0.1,3.0,0.896,0.774,1
4.51,13.1,0.434,0.797,0
3.9,13.3,0.962,0.66,0
1.32,4.3,0.652,0.871,1
0.72,3.0,0.109,0.7,0
2.13,6.0,0.509,0.569,1
6.08,20.0,0.696,0.963,1
0.98,3.0,0.065,0.957,1
4.3,13.7,0.345,0.456,1
8.91,20.8,0.717,0.958,1
1.2,3.0,0.157,0.858,1
12.91,33.5,0.348,0.463,0
0.18,3.0,0.69,0.706,1
0.11,3.0,0.776,0.421,1
5.57,12.3,0.519,0.747,1
1.94,6.8,0.957,0.951,1
1.82,6.9,0.925,0.617,1
5.88,17.7,0.473,0.7,1
7.42,22.2,0.16,0.534,0
2.47,6.5,0.773,0.719,1
6.32,15.2,0.243,0.874,0
3.03,10.3,0.843,0.527,1
1.5,5.2,0.587,0.727,1
0.73,3.0,0.394,0.609,1
4.13,8.3,0.556,0.841,1
6.42,17.0,0.533,0.814,1
8.01,19.7,0.925,0.812,1
0.91,3.0,0.214,0.623,1
3.08,9.8,0.928,0.754,1
1.54,5.4,0.031,0.784,1
5.14,15.5,0.769,0.802,1
0.66,3.0,0.92,0.739,1
0.18,3.0,0.394,0.911,1
1.08,4.1,0.073,0.547,1
0.21,3.0,0.805,0.433,1
1.41,3.0,0.843,0.968,1
1.46,3.0,0.336,0.436,1
0.34,3.0,0.519,0.933,1
9.26,26.4,0.809,0.761,0
0.91,6.3,0.192,0.942,1
3.59,7.3,0.629,0.733,1
0.6,3.0,0.431,0.884,1
1.53,4.9,0.174,0.826,1
0.27,3.0,0.831,0.71,1
0.35,3.0,0.325,0.614,1
0.1,3.0,0.934,0.402,1
4.85,15.5,0.569,0.548,1
1.07,4.9,0.515,0.962,1
2.08,3.1,0.423,0.563,1
2.61,8.1,0.401,0.844,1
0.54,3.1,0.818,0.7,1
8.8,22.6,0.678,0.582,0
1.64,6.4,0.774,0.985,1
0.23,3.0,0.421,0.428,1
0.32,3.0,0.261,0.743,1
1.49,4.0,0.087,0.672,1
0.38,3.0,0.777,0.445,1
0.98,3.0,0.415,0.526,1
2.23,4.2,0.509,0.81,0
0.12,3.0,0.469,0.464,1
1.08,5.6,0.431,0.873,1
4.71,12.8,0.684,0.769,1
0.22,3.0,0.609,0.46,1
2.91,6.1,0.972,0.569,1
0.15,3.0,0.139,0.481,1
8.03,22.1,0.574,0.871,1
0.76,3.0,0.063,0.714,1
0.74,3.0,0.808,0.402,1
3.27,9.9,0.616,0.72,1
6.78,13.1,0.428,0.685,1
9.56,23.8,0.802,0.779,1
4.15,9.5,0.455,0.421,1
5.18,12.7,0.228,0.421,1
3.29,7.2,0.473,0.606,1
0.58,3.0,0.071,0.806,1
3.5,12.6,0.898,0.793,1
0.5,3.0,0.731,0.564,0
2.97,8.0,0.76,0.527,1
2.3,9.7,0.874,0.803,1
1.07,3.0,0.792,0.416,1
2.13,9.0,0.432,0.729,0
2.71,6.8,0.119,0.65,1
0.7,5.3,0.373,0.541,1
1.25,4.6,0.934,0.707,1
1.27,3.8,0.949,0.528,1
0.34,3.0,0.768,0.733,1
0.87,3.0,0.204,0.488,1
3.08,7.8,0.194,0.639,1
3.59,10.8,0.88,0.701,1
1.72,4.3,0.142,0.419,1
1.8,3.9,0.584,0.76,1
1.19,3.0,0.378,0.843,1
3.5,10.7,0.302,0.964,0
1.22,5.5,0.677,0.52,1
2.87,5.9,0.96,0.523,1
1.92,3.5,0.778,0.58,1
1.8,5.3,0.486,0.926,1
8.62,24.6,0.441,0.64,0
6.43,18.4,0.908,0.578,1
2.86,4.7,0.578,0.837,1
3.58,8.4,0.497,0.422,1
0.44,3.0,0.683,0.724,1
1.39,3.0,0.237,0.666,1
3.91,13.0,0.064,0.769,1
3.07,4.8,0.855,0.831,1
0.71,3.0,0.607,0.592,1
9.32,21.6,0.165,0.775,0
0.12,3.0,0.298,0.709,1
3.34,9.6,0.99,0.479,1
0.29,3.0,0.634,0.92,1
7.37,20.8,0.636,0.845,1
0.26,3.0,0.072,0.944,1
4.65,14.0,0.969,0.825,1
0.54,3.0,0.893,0.544,1
13.62,35.5,0.548,0.654,0
1.73,3.0,0.309,0.628,1
3.52,8.8,0.698,0.421,1
2.94,7.8,0.833,0.642,1
2.01,7.3,0.786,0.604,1
4.33,7.6,0.977,0.402,1
2.22,5.6,0.637,0.9,1
8.22,18.4,0.321,0.485,1
0.18,3.0,0.498,0.696,1
16.08,41.7,0.816,0.863,0
2.48,8.8,0.265,0.757,1
0.88,3.0,0.231,0.5,1
1.76,6.3,0.725,0.765,1
3.73,12.0,0.444,0.847,1
2.99,4.2,0.817,0.904,1
6.26,16.9,0.144,0.588,1
6.83,19.0,0.336,0.42,1
2.84,6.6,0.268,0.759,1
4.72,9.4,0.698,0.533,1
2.02,6.9,0.759,0.861,1
0.35,3.0,0.456,0.801,1
1.63,3.7,0.478,0.856,1
0.88,3.0,0.132,0.971,1
5.92,16.2,0.702,0.745,1
0.69,3.0,0.992,0.934,1
3.82,8.2,0.778,0.779,1
6.82,17.2,0.223,0.507,1
0.4,3.0,0.623,0.872,1
2.85,11.7,0.295,0.809,1
7.83,16.5,0.03,0.977,1
1.55,4.5,0.18,0.544,0
1.48,3.0,0.103,0.597,1
1.99,7.0,0.196,0.885,0
0.62,3.0,0.796,0.437,1
0.54,3.0,0.293,0.774,1
9.32,22.1,0.757,0.716,1
7.2,17.9,0.949,0.5,1
1.77,5.1,0.574,0.497,1
0.97,3.4,0.485,0.878,1
4.03,10.1,0.75,0.409,1
13.04,29.9,0.097,0.841,0
6.5,17.7,0.428,0.832,0
1.46,3.5,0.499,0.783,1
1.99,7.3,0.831,0.642,1
3.29,6.8,0.814,0.417,1
2.25,3.0,0.848,0.873,1
0.97,3.0,0.698,0.474,1
0.96,5.0,0.531,0.566,1
3.25,8.4,0.828,0.959,1
10.48,25.8,0.873,0.578,0
0.58,3.0,0.48,0.551,1
3.57,12.4,0.986,0.974,1
7.87,17.6,0.875,0.451,0
0.1,3.0,0.51,0.495,1
1.65,5.3,0.069,0.659,1
4.04,6.4,0.224,0.865,1
6.82,19.6,0.776,0.922,0
8.45,22.4,0.111,0.846,0
1.0,4.3,0.47,0.976,1
0.21,3.0,0.605,0.41,1
1.02,3.0,0.878,0.766,1
2.43,3.9,0.847,0.469,1
0.79,3.0,0.764,0.937,1
1.29,3.0,0.408,0.952,1
4.26,11.6,0.142,0.579,0
0.1,3.0,0.67,0.888,1
5.33,16.3,0.181,0.772,1
0.1,3.0,0.561,0.459,1
2.87,9.0,0.981,0.756,1
0.18,3.0,0.55,0.976,1
0.96,3.0,0.646,0.582,1
1.75,5.3,0.678,0.401,1
6.53,15.5,0.83,0.976,1
0.65,3.0,0.435,0.644,0
11.66,27.0,0.498,0.654,0
6.53,14.6,0.176,0.82,0
0.24,3.0,0.615,0.757,1
0.1,3.0,0.296,0.578,1
0.51,3.0,0.508,0.459,1
2.92,8.7,0.767,0.888,1
18.51,45.2,0.018,0.685,0
1.07,3.0,0.564,0.797,1
4.19,13.3,0.173,0.908,1
0.25,3.0,0.279,0.41,1
4.68,13.3,0.035,0.907,1
5.96,18.7,0.169,0.844,0
6.65,15.2,0.987,0.959,1
6.75,14.9,0.999,0.538,1
4.94,10.9,0.72,0.59,1
0.25,3.0,0.612,0.79,1
2.47,3.0,0.777,0.946,1
1.31,3.0,0.897,0.986,1
1.41,3.0,0.519,0.646,1
6.7,18.3,0.035,0.718,1
6.47,16.9,0.709,0.501,1
3.51,7.6,0.985,0.809,1
0.75,3.1,0.258,0.894,1
3.31,9.7,0.463,0.871,1
0.86,3.0,0.361,0.604,1
4.45,10.1,0.39,0.968,1
0.58,3.0,0.721,0.471,1
3.55,6.7,0.378,0.691,1
1.43,3.0,0.941,0.727,1
0.28,3.0,0.79,0.717,1
4.14,8.5,0.028,0.847,1
0.38,3.0,0.819,0.76,1
12.82,29.6,0.773,0.446,0
1.98,5.3,0.516,0.506,1
1.07,3.5,0.497,0.714,1
0.6,3.0,0.836,0.81,1
2.19,5.5,0.425,0.703,1
4.17,7.4,0.159,0.61,1
5.33,12.1,0.313,0.43,1
2.64,5.8,0.265,0.864,1
10.16,24.6,0.681,0.693,0
4.65,11.8,0.179,0.718,1
0.54,4.2,0.645,0.677,1
9.71,25.9,0.466,0.557,0
1.21,3.0,0.84,0.563,1
10.2,26.9,0.485,0.437,1
0.93,3.6,0.93,0.817,1
1.58,3.0,0.9,0.56,0
3.44,10.3,0.185,0.576,0
0.22,3.0,0.686,0.986,1
7.9,16.9,0.215,0.628,1
1.35,4.3,0.823,0.701,1
0.78,3.0,0.636,0.628,1
0.18,3.0,0.294,0.571,1
0.1,3.0,0.249,0.403,1
0.1,3.0,0.43,0.904,1
1.14,4.1,0.801,0.679,1
1.1,3.0,0.796,0.825,1
3.06,8.0,0.033,0.966,1
6.87,17.9,0.302,0.402,1
3.52,6.5,0.423,0.798,1
3.27,6.4,0.586,0.47,1
1.66,3.0,0.15,0.67,1
2.9,8.4,0.335,0.9,1
2.4,3.6,0.886,0.442,1
0.16,3.0,0.477,0.984,1
0.81,3.0,0.744,0.743,1
0.78,3.1,0.485,0.633,1
0.23,3.0,0.465,0.412,1
1.37,3.3,0.622,0.746,1
0.18,3.8,0.259,0.692,1
4.51,14.7,0.25,0.527,1
4.62,13.5,0.989,0.689,1
0.32,3.0,0.869,0.408,1
0.26,3.0,0.738,0.99,1
9.39,24.9,0.137,0.596,0
0.94,3.0,0.03,0.683,1
2.11,6.4,0.175,0.863,1
1.84,3.3,0.938,0.821,1
3.82,9.2,0.816,0.924,1
3.11,8.1,0.523,0.955,1
6.87,17.7,0.969,0.512,1
0.57,3.0,0.147,0.63,1
3.1,6.6,0.559,0.805,1
1.29,3.0,0.183,0.427,1
2.14,8.6,0.306,0.823,1
12.43,36.1,0.94,0.403,0
1.62,5.0,0.868,0.939,1
3.54,6.2,0.102,0.824,1
1.92,3.3,0.25,0.734,0
0.59,3.0,0.595,0.653,1
0.1,3.0,0.061,0.983,1
4.68,9.3,0.55,0.835,1
0.29,3.0,0.584,0.876,1
0.59,3.0,0.291,0.887,1
2.74,8.6,0.293,0.413,1
1.12,3.0,0.229,0.432,0
1.84,3.0,0.936,0.517,1
1.88,5.9,0.389,0.787,1
0.1,3.0,0.585,0.768,1
6.62,16.4,0.302,0.592,1
12.17,31.2,0.703,0.974,0
2.05,4.2,0.101,0.455,1
1.24,3.0,0.072,0.858,1
6.81,19.1,0.744,0.684,1
1.61,4.8,0.727,0.647,1
2.92,8.3,0.265,0.415,1
6.21,18.5,0.355,0.829,1
1.29,3.0,0.957,0.855,1
5.78,13.3,0.104,0.588,0
3.43,8.9,0.183,0.705,1
3.08,6.6,0.43,0.758,1
5.3,14.8,0.282,0.617,1
0.1,3.0,0.649,0.763,1
1.12,3.0,0.691,0.656,1
0.68,3.0,0.526,0.918,1
0.99,3.0,0.611,0.824,1
1.27,5.0,0.433,0.465,0
0.77,3.0,0.76,0.872,1
1.79,5.4,0.042,0.599,1
1.06,3.3,0.313,0.952,1
1.68,3.8,0.684,0.756,1
1.95,3.4,0.33,0.416,0
0.81,3.0,0.079,0.833,1
2.91,6.6,0.345,0.477,1
3.53,12.2,0.711,0.918,1
4.67,14.4,0.122,0.96,1
0.69,3.0,0.725,0.81,1
2.98,8.2,0.775,0.714,1
4.12,10.1,0.635,0.755,1
0.14,3.0,0.244,0.653,1
1.71,3.8,0.805,0.449,1
2.85,7.3,0.214,0.948,1
0.89,3.0,0.906,0.594,1
5.52,14.7,0.707,0.585,1
3.89,11.6,0.055,0.513,1
0.57,3.0,0.799,0.986,1
1.79,3.1,0.506,0.956,1
10.06,28.0,0.453,0.606,0
2.39,7.5,0.421,0.553,1
4.27,9.9,0.607,0.875,1
7.42,18.3,0.725,0.649,1
1.78,4.2,0.896,0.971,1
0.29,3.0,0.273,0.932,1
0.74,3.0,0.631,0.848,1
1.99,10.0,0.686,0.453,1
1.76,4.8,0.675,0.814,1
2.43,7.4,0.493,0.982,1
3.96,6.5,0.391,0.62,1
4.56,10.4,0.762,0.92,1
3.2,10.5,0.3,0.641,1
8.58,22.3,0.208,0.973,0
10.85,18.3,0.546,0.786,1
3.92,11.1,0.268,0.457,1
5.84,18.4,0.033,0.683,0
1.55,3.0,0.052,0.429,1
0.43,4.1,0.695,0.633,1
2.53,3.0,0.973,0.94,1
7.77,21.3,0.455,0.537,1
0.48,3.0,0.147,0.961,1
1.31,3.0,0.818,0.459,1
2.99,8.4,0.261,0.792,1
1.72,6.6,0.996,0.97,1
0.16,3.0,0.563,0.786,1
12.47,32.3,0.233,0.93,0
2.33,5.0,0.496,0.985,1
0.88,3.0,0.335,0.779,1
1.49,5.1,0.779,0.862,1
0.1,3.7,0.106,0.419,0
2.42,8.3,0.857,0.652,1
4.94,8.4,0.767,0.57,1
2.42,3.0,0.861,0.886,1
4.45,9.4,0.895,0.8,1
2.03,3.0,0.23,0.763,1
4.37,11.0,0.521,0.95,1
2.12,6.1,0.85,0.452,0
3.07,4.8,0.377,0.963,1
5.77,16.0,0.06,0.459,0
13.18,34.1,0.292,0.605,0
1.61,3.0,0.242,0.772,1
10.34,25.5,0.87,0.601,0
0.34,3.0,0.464,0.803,1
2.73,6.1,0.684,0.857,1
2.11,5.3,0.962,0.889,1
2.59,6.8,0.299,0.506,0
5.54,14.6,0.761,0.507,1
1.48,4.2,0.023,0.431,0
12.6,31.0,0.104,0.69,0
2.38,6.5,0.162,0.481,1
4.39,13.0,0.312,0.588,0
2.67,6.5,0.403,0.896,1
2.21,6.2,0.477,0.96,1
1.73,3.9,0.245,0.885,1
0.1,3.0,0.066,0.4,1
11.79,30.5,0.678,0.735,1
3.13,6.7,0.024,0.498,1
8.28,21.5,0.809,0.622,1
12.13,30.4,0.929,0.652,0
4.65,11.0,0.71,0.956,1
1.44,3.0,0.596,0.774,1
1.9,3.7,0.657,0.558,0
0.3,3.0,0.652,0.779,1
7.11,18.5,0.932,0.962,1
3.53,9.3,0.964,0.435,1
8.24,22.3,0.427,0.881,1
7.27,17.1,0.617,0.528,0
0.12,4.1,0.803,0.49,1
5.29,12.5,0.001,0.93,1
0.44,3.0,0.527,0.401,1
0.23,3.0,0.653,0.837,1
3.41,5.1,0.717,0.451,1
1.83,7.6,0.369,0.765,1
4.73,14.6,0.296,0.766,0
9.81,25.7,0.182,0.909,1
1.65,3.0,0.558,0.885,1
2.77,10.6,0.919,0.804,1
0.1,3.0,0.896,0.625,1
0.69,3.0,0.36,0.498,1
3.36,11.3,0.258,0.775,1
0.1,3.0,0.789,0.693,1
3.14,12.3,0.725,0.446,1
2.98,7.9,0.505,0.964,1
0.29,3.0,0.389,0.586,1
7.8,18.3,0.124,0.401,1
4.35,7.2,0.785,0.932,1
7.19,17.4,0.617,0.74,1
0.5,3.5,0.377,0.833,1
4.21,11.7,0.919,0.49,1
1.26,3.2,0.66,0.639,1
9.14,20.9,0.929,0.781,1
1.99,5.4,0.474,0.548,1
2.89,9.3,0.455,0.814,1
0.98,3.3,0.937,0.538,1
1.93,5.2,0.96,0.523,1
4.18,8.9,0.961,0.407,1
3.19,9.7,0.819,0.566,1
0.1,3.0,0.462,0.546,1
0.11,3.0,0.21,0.851,1
1.84,9.7,0.383,0.736,0
4.52,8.3,0.938,0.505,1
2.8,6.5,0.364,0.735,1
0.6,3.0,0.757,0.533,1
4.87,11.2,0.923,0.651,1
10.12,27.4,0.97,0.924,1
1.23,4.0,0.948,0.824,1
1.95,5.2,0.555,0.784,1
1.77,6.0,0.492,0.566,1
1.04,3.0,0.988,0.474,1
1.28,9.6,0.218,0.844,1
1.07,3.0,0.188,0.735,1
0.61,3.0,0.963,0.767,1
0.18,3.0,0.689,0.975,1
1.01,3.0,0.536,0.606,1
6.51,18.6,0.132,0.872,1
1.17,3.0,0.513,0.73,1
0.81,3.0,0.944,0.539,1
4.66,11.7,0.603,0.431,1
1.55,6.6,0.405,0.763,1
4.29,10.8,0.551,0.576,1
3.49,8.0,0.886,0.81,1
3.49,5.0,0.913,0.813,1
1.09,3.6,0.4,0.669,1
2.56,7.7,0.608,0.716,1
8.71,18.2,0.279,0.77,1
4.07,12.5,0.451,0.676,1
3.66,10.7,0.22,0.918,1
1.82,6.8,0.531,0.445,0
3.5,9.9,0.578,0.978,1
2.2,6.8,0.338,0.42,1
0.54,3.0,0.272,0.523,1
1.06,4.4,0.151,0.818,1
0.51,3.0,0.14,0.45,1
3.28,5.2,0.711,0.555,1
0.3,3.0,0.222,0.491,1
0.28,3.0,0.118,0.827,1
0.65,3.0,0.999,0.742,1
1.43,4.2,0.26,0.438,1
0.53,3.6,0.896,0.671,1
3.94,12.1,0.609,0.523,1
2.32,4.1,0.715,0.971,1
15.34,38.8,0.561,0.464,0
10.24,23.9,0.181,0.753,0
2.15,5.0,0.847,0.684,1
1.91,5.4,0.828,0.741,1
0.36,3.0,0.35,0.964,1
4.95,17.2,0.764,0.601,1
10.58,27.6,0.543,0.842,1
1.98,3.7,0.909,0.664,1
4.74,15.7,0.803,0.79,1
0.1,3.0,0.041,0.616,1
20.0,50.3,0.879,0.534,0
0.32,3.0,0.969,0.449,1
4.54,14.6,0.742,0.46,1
0.16,3.0,0.12,0.966,1
1.03,3.0,0.807,0.865,1
1.2,5.4,0.647,0.545,1
3.18,9.1,0.339,0.712,1
0.2,3.0,0.884,0.821,1
1.35,5.6,0.566,0.608,1
0.73,6.9,0.853,0.66,1
0.36,3.0,0.67,0.824,1
5.05,12.9,0.289,0.534,1
1.44,3.9,0.975,0.711,1
0.29,3.4,0.571,0.524,1
1.72,3.1,0.517,0.402,1
0.59,3.0,0.404,0.807,1
0.1,3.0,0.136,0.817,1
0.33,3.0,0.686,0.987,1
3.59,7.9,0.431,0.507,1
0.1,3.0,0.935,0.836,1
1.43,7.1,0.965,0.959,1
2.1,6.3,0.768,0.78,1
0.9,3.0,0.242,0.968,1
2.41,4.6,0.716,0.987,1
5.48,16.5,0.02,0.873,1
1.88,6.9,0.826,0.99,1
1.76,4.5,0.494,0.769,1
0.45,3.0,0.937,0.693,1
1.9,7.0,0.378,0.941,1
6.96,15.4,0.263,0.89,0
1.75,5.2,0.995,0.465,1
2.19,10.0,0.531,0.579,0
8.63,22.0,0.863,0.554,1
1.2,3.0,0.911,0.905,1
0.14,3.0,0.518,0.538,1
6.3,14.8,0.456,0.579,1
2.07,3.0,0.553,0.706,1
0.43,3.0,0.848,0.445,1
0.26,3.0,0.965,0.967,1
2.0,4.4,0.328,0.69,1
4.71,11.0,0.739,0.512,0
0.1,3.0,0.285,0.56,1
0.22,3.0,0.611,0.871,1
0.33,3.0,0.805,0.774,1
0.51,3.0,0.886,0.674,1
2.99,11.3,0.449,0.596,1
0.17,3.0,0.37,0.931,1
5.72,15.5,0.253,0.856,1
7.56,20.7,0.133,0.824,0
14.99,39.0,0.365,0.663,0
0.1,3.0,0.872,0.979,1
0.65,3.0,0.419,0.819,1
2.2,5.0,0.317,0.65,1
0.21,3.0,0.739,0.967,1
12.34,31.5,0.216,0.928,0
10.07,24.4,0.256,0.837,1
2.05,3.0,0.936,0.853,1
5.99,15.3,0.082,0.65,0
6.22,15.1,0.415,0.699,0
2.27,3.0,0.577,0.513,1
1.47,4.7,0.23,0.751,1
6.02,17.0,0.281,0.618,1
1.8,9.5,0.222,0.605,1
7.45,17.8,0.345,0.959,1
3.03,6.5,0.899,0.497,1
2.05,3.0,0.432,0.89,1
1.5,4.2,0.418,0.566,0
1.03,3.0,0.387,0.417,1
0.66,3.0,0.964,0.424,1
0.1,3.0,0.117,0.653,1
0.93,3.0,0.872,0.668,1
